"matchday","team1","team2","score1","score2","goal1","goal2","res","season"
27,"Al Bacaro","AF Antastica",74,"78.5","3","4","3-4","2024/2025"
27,"Tettenham","Aston Pirla",65.5,"71","0","2","0-2","2024/2025"
28,"Al Bacaro","FC Tigrotto",66.5,"71","1","2","1-2","2024/2025"
28,"Sambuca Juniors","AF Antastica",70,"65","2","0","2-0","2024/2025"
28,"Joe Gage FC","Fc Scrotone",65,"76.5","0","3","0-3","2024/2025"
28,"Herta Vernello","Aston Pirla",64,"70","0","2","0-2","2024/2025"
28,"Tettenham","Zoggiathebest99 Team",75.5,"75.5","3","3","3-3","2024/2025"
29,"FC Tigrotto","Sambuca Juniors",64.5,"58","0","0","0-0","2024/2025"
29,"Zoggiathebest99 Team","Herta Vernello",66,"62.5","1","0","1-0","2024/2025"
29,"Aston Pirla","Joe Gage FC",72.5,"71.5","2","2","2-2","2024/2025"
29,"Fc Scrotone","Al Bacaro",73.5,"74","2","3","2-3","2024/2025"
29,"AF Antastica","Tettenham",69.5,"66.5","1","1","1-1","2024/2025"
30,"Tettenham","FC Tigrotto",78.5,"71","4","2","4-2","2024/2025"
30,"Herta Vernello","AF Antastica",74,"74","3","3","3-3","2024/2025"
30,"Sambuca Juniors","Fc Scrotone",80,"76","4","3","4-3","2024/2025"
30,"Joe Gage FC","Al Bacaro",58.5,"75","0","3","0-3","2024/2025"
30,"Aston Pirla","Zoggiathebest99 Team",81.5,"79.5","4","4","4-4","2024/2025"
31,"Al Bacaro","Sambuca Juniors",61.5,"76","0","3","0-3","2024/2025"
31,"AF Antastica","Aston Pirla",70,"76.5","2","3","2-3","2024/2025"
31,"FC Tigrotto","Herta Vernello",70,"67","2","1","2-1","2024/2025"
31,"Zoggiathebest99 Team","Joe Gage FC",74.5,"68.5","3","1","3-1","2024/2025"
31,"Fc Scrotone","Tettenham",75,"59","3","0","3-0","2024/2025"
32,"Aston Pirla","FC Tigrotto",70.5,"73","2","2","2-2","2024/2025"
32,"Zoggiathebest99 Team","AF Antastica",64.5,"71","0","2","0-2","2024/2025"
32,"Joe Gage FC","Sambuca Juniors",67.5,"78","1","4","1-4","2024/2025"
32,"Herta Vernello","Fc Scrotone",78,"62.5","4","0","4-0","2024/2025"
32,"Tettenham","Al Bacaro",63.5,"69","0","1","0-1","2024/2025"
33,"Fc Scrotone","Aston Pirla",66.5,"71","1","2","1-2","2024/2025"
33,"Al Bacaro","Herta Vernello",63,"65","0","0","0-0","2024/2025"
33,"AF Antastica","Joe Gage FC",67,"73","1","2","1-2","2024/2025"
33,"Sambuca Juniors","Tettenham",69,"68.5","1","1","1-1","2024/2025"
33,"FC Tigrotto","Zoggiathebest99 Team",79,"72","4","2","4-2","2024/2025"
34,"AF Antastica","FC Tigrotto",69.5,"73.5","1","2","1-2","2024/2025"
34,"Herta Vernello","Sambuca Juniors",74,"69","3","1","3-1","2024/2025"
34,"Zoggiathebest99 Team","Fc Scrotone",64.5,"69","0","1","0-1","2024/2025"
34,"Aston Pirla","Al Bacaro",71.5,"72","2","2","2-2","2024/2025"
34,"Joe Gage FC","Tettenham",66,"68.5","1","1","1-1","2024/2025"
35,"Joe Gage FC","FC Tigrotto",63,"69","0","1","0-1","2024/2025"
35,"Fc Scrotone","AF Antastica",78.5,"61.5","4","0","4-0","2024/2025"
35,"Sambuca Juniors","Aston Pirla",76,"64.5","3","0","3-0","2024/2025"
35,"Tettenham","Herta Vernello",77.5,"63.5","3","0","3-0","2024/2025"
35,"Al Bacaro","Zoggiathebest99 Team",69.5,"73","1","2","1-2","2024/2025"
36,"Zoggiathebest99 Team","Sambuca Juniors",74,"66.5","3","1","3-1","2024/2025"
36,"FC Tigrotto","Fc Scrotone",67,"72","1","2","1-2","2024/2025"
36,"Herta Vernello","Joe Gage FC",75,"53.5","3","0","3-0","2024/2025"
36,"AF Antastica","Al Bacaro",72.5,"81.5","2","4","2-4","2024/2025"
36,"Aston Pirla","Tettenham",62,"72.5","0","2","0-2","2024/2025"
